"Date","Open","High","Low","Close"
"10 Jan 2023","44800.05","44809.45","44503.80","44626.05"
"09 Jan 2023","44617.50","44894.55","44505.60","44796.65"
"06 Jan 2023","44453.75","44717.35","44287.60","44412.85"
"05 Jan 2023","43832.10","44533.65","43812.95","44401.50"
"04 Jan 2023","44104.85","44160.65","43655.00","43723.55"
"03 Jan 2023","44121.60","44231.75","43900.90","44013.65"
"02 Jan 2023","44284.20","44318.65","44000.80","44192.85"
"30 Dec 2022","44640.65","44740.35","44086.00","44171.45"
"29 Dec 2022","44537.55","44630.75","44099.00","44508.00"
"28 Dec 2022","44566.90","44634.70","44408.40","44589.15"
"27 Dec 2022","44880.05","44981.25","44480.50","44559.40"
"26 Dec 2022","44279.35","44864.30","44057.80","44744.05"
"23 Dec 2022","44823.60","44976.65","44245.65","44314.90"
"22 Dec 2022","45383.15","45569.50","44923.50","45085.55"
"21 Dec 2022","45835.00","45864.45","45189.15","45284.70"
"20 Dec 2022","45866.30","45888.70","45402.05","45694.70"
"19 Dec 2022","45449.40","46013.55","45383.00","45981.45"
"16 Dec 2022","45472.80","45541.60","45096.25","45320.75"
"15 Dec 2022","45864.40","45977.30","45427.35","45544.55"
"14 Dec 2022","46243.95","46285.65","45840.35","45949.35"
"13 Dec 2022","46312.55","46331.20","46037.15","46145.55"
"12 Dec 2022","46093.25","46244.20","45973.05","46215.20"
"09 Dec 2022","45964.95","46235.15","45821.90","46159.50"
"08 Dec 2022","45720.45","45986.05","45612.65","45767.05"
"07 Dec 2022","45423.90","45878.45","45313.95","45724.60"
"06 Dec 2022","44977.10","45341.20","44961.05","45287.85"
"05 Dec 2022","45123.05","45232.75","44781.40","45151.15"
"02 Dec 2022","45348.55","45351.40","45025.90","45154.20"
"01 Dec 2022","45680.60","45690.70","45188.10","45370.65"
"30 Nov 2022","45085.85","45788.05","45079.00","45536.55"
"29 Nov 2022","44261.05","45151.70","44254.65","45078.55"
"28 Nov 2022","44042.30","44313.45","43974.00","44251.05"
"25 Nov 2022","44331.55","44331.55","43878.75","44102.60"
"24 Nov 2022","43991.45","44388.45","43932.60","44241.75"
"23 Nov 2022","44000.80","44009.20","43736.35","43854.20"
"22 Nov 2022","43619.00","43881.85","43526.05","43854.15"
"21 Nov 2022","43647.25","43688.60","43456.20","43611.00"
"18 Nov 2022","43915.65","43958.80","43447.90","43747.00"
"17 Nov 2022","43923.40","44084.80","43775.45","43845.10"
"16 Nov 2022","43960.10","44012.65","43594.80","43910.30"
"15 Nov 2022","44054.65","44077.40","43468.05","43911.05"
"14 Nov 2022","44570.40","44692.55","43878.30","43919.15"
"11 Nov 2022","44988.15","45035.50","44431.05","44520.50"
"10 Nov 2022","44719.65","44927.25","44386.15","44586.90"
"09 Nov 2022","44696.55","45050.35","44671.95","44826.55"
"07 Nov 2022","44700.55","44998.90","44416.15","44709.45"
"04 Nov 2022","44684.70","44790.95","44409.65","44509.55"
"03 Nov 2022","44439.00","44782.75","44404.95","44661.85"
"02 Nov 2022","44583.75","44807.8","44346.7","44533.35"
"01 Nov 2022","44460.15","44604.85","44400.8","44564.90"
"31 Oct 2022","44166.35","44410.40","44031.00","44296.30"
"28 Oct 2022","44118.10","44202.80","43834.25","43944.10"
"27 Oct 2022","43858.00","44073.70","43617.20","43954.60"
"25 Oct 2022","44332.60","44342.30","43659.45","43752.85"
"24 Oct 2022","44372.90","44471.25","44090.50","44210.10"
"21 Oct 2022","44467.75","44670.80","44080.70","44269.20"
"20 Oct 2022","43824.40","44365.10","43821.55","44281.15"
"19 Oct 2022","43923.10","44055.90","43665.90","43890.55"
"18 Oct 2022","43465.40","43859.05","43389.25","43715.75"
"17 Oct 2022","43073.85","43406.95","42924.50","43182.90"
"14 Oct 2022","43474.20","43646.35","43105.20","43153.05"
"13 Oct 2022","43180.85","43319.85","42995.65","43036.65"
"12 Oct 2022","42739.15","43267.15","42559.20","43196.85"
"11 Oct 2022","43466.90","43473.75","42461.80","42564.65"
"10 Oct 2022","43278.60","43413.50","42996.60","43329.20"
"07 Oct 2022","44056.10","44105.65","43534.30","43813.30"
"06 Oct 2022","44478.60","44518.50","44023.00","44097.20"
"04 Oct 2022","44034.05","44319.05","43871.30","44287.05"
"03 Oct 2022","44519.65","44654.45","43365.05","43477.30"
"30 Sep 2022","44393.65","44590.65","44037.9","44405.65"
"29 Sep 2022","44290.35","44531.20","44130.80","44356.25"
"28 Sep 2022","44000.30","44310.30","43704.70","43964.65"
"27 Sep 2022","44136.55","44599.9","44049.8","44218.15"
"26 Sep 2022","44638.3","44825.05","43845.3","43937.40"
"23 Sep 2022","45227.15","45237.95","44780.15","44854.65"
"22 Sep 2022","44484.75","45228.15","44460.75","45080.45"
"21 Sep 2022","43989.80","44674.95","43945.10","44500.15"
"20 Sep 2022","43980.00","44259.35","43866.35","43981.25"
"19 Sep 2022","43131.80","43722.90","42877.10","43655.65"
"16 Sep 2022","43929.35","43991.45","43101.60","43192.65"
"15 Sep 2022","44343.10","44499.25","43954.40","44041.60"
"14 Sep 2022","43800.55","44529.95","43786.75","44182.65"
"13 Sep 2022","44095.65","44330.60","43995.10","44251.55"
"12 Sep 2022","43968.10","44069.30","43863.75","43921.85"
"09 Sep 2022","44072.80","44305.20","43772.40","43837.70"
"08 Sep 2022","43883.90","43963.60","43600.60","43786.45"
"07 Sep 2022","43443.40","43780.05","43403.60","43614.95"
"06 Sep 2022","43832.30","43958.15","43426.15","43528.90"
"05 Sep 2022","43736.00","43836.60","43563.30","43755.85"
"02 Sep 2022","43647.65","43832.45","43449.90","43666.55"
"01 Sep 2022","43549.60","43638.10","43281.45","43497.35"
"30 Aug 2022","43106.55","43870.05","43100.45","43821.15"
"29 Aug 2022","42286.55","43045.00","42226.55","42933.90"
"26 Aug 2022","43103.95","43159.75","42698.95","42768.95"
"25 Aug 2022","43189.40","43364.35","42738.65","42830.05"
"24 Aug 2022","42847.55","43205.95","42768.05","42999.70"
"23 Aug 2022","42625.60","43017.25","42584.35","42937.65"
"22 Aug 2022","42947.90","43222.10","42751.75","42890.65"
"19 Aug 2022","43626.35","43671.40","42865.50","42945.35"
"18 Aug 2022","43307.30","43653.25","43264.05","43522.30"
"17 Aug 2022","43081.95","43326.65","43041.20","43275.85"
"16 Aug 2022","42603.60","43132.35","42566.25","42964.10"
"12 Aug 2022","42536.20","42547.25","42126.85","42457.30"
"11 Aug 2022","43047.05","43143.90","42382.70","42478.50"
"10 Aug 2022","43067.15","43245.60","42709.20","42821.60"
"08 Aug 2022","42961.75","43040.10","42830.60","42978.50"
"05 Aug 2022","42891.80","43117.15","42845.95","42930.90"
"04 Aug 2022","42607.75","42874.30","42435.70","42830.25"
"03 Aug 2022","42743.30","42896.95","42257.05","42624.15"
"02 Aug 2022","42739.75","43221.85","42587.45","42798.50"
"01 Aug 2022","42582.95","42610.50","42343.35","42526.75"
"29 Jul 2022","42472.95","42584.75","42156.90","42487.40"
"28 Jul 2022","42301.05","42348.60","41916.20","42271.65"
"27 Jul 2022","41715.45","42085.30","41635.65","42036.30"
"26 Jul 2022","42397.15","42400.15","41718.95","41799.05"
"25 Jul 2022","42450.60","42566.50","42291.75","42386.95"
"22 Jul 2022","42404.65","42555.10","42205.60","42502.75"
"21 Jul 2022","42059.55","42360.95","42003.75","42283.00"
"20 Jul 2022","41636.40","42004.70","41465.65","41950.15"
"19 Jul 2022","41427.90","41508.70","41211.50","41479.85"
"18 Jul 2022","41710.30","41902.25","41335.00","41460.30"
"15 Jul 2022","41138.20","41534.55","40994.75","41498.80"
"14 Jul 2022","41014.45","41329.30","40651.85","40897.30"
"13 Jul 2022","40681.15","41103.45","40681.15","40954.40"
"12 Jul 2022","40815.20","40975.35","40513.40","40574.80"
"11 Jul 2022","40859.50","41208.10","40778.50","41043.15"
"08 Jul 2022","40844.20","40961.10","40675.75","40925.25"
"07 Jul 2022","40906.45","41170.65","40650.25","40708.70"
"06 Jul 2022","39589.40","40799.35","39589.40","40740.15"
"05 Jul 2022","39895.90","39904.20","39619.95","39690.60"
"04 Jul 2022","38761.30","39792.85","38761.30","39755.65"
"01 Jul 2022","37562.45","38814.65","37428.40","38725.85"
"30 Jun 2022","37637.35","37794.55","37415.80","37664.55"
"29 Jun 2022","37862.45","37913.85","37605.10","37688.35"
"28 Jun 2022","38035.10","38252.10","37712.20","38173.10"
"27 Jun 2022","38027.10","38219.70","37875.15","38103.20"
"24 Jun 2022","37449.25","37872.15","37449.25","37778.85"
